party_id,country,abbrev,name,name_english,family
79321,Bosnia-Herzegovina,SDP BiH,Socijaldemokratska partija Bosne i Hercegovine,Social Democratic Party of Bosnia and Herzegovina,centre-left
79322,Bosnia-Herzegovina,DF,Demokratska fronta,Democratic Front,centre-left
79422,Bosnia-Herzegovina,PDP RS,Partija demokratskog progresa Republike Srpske,Party of Democratic Progress of the Republika Srpska,centre-right
79440,Bosnia-Herzegovina,NS/HC,Naša stranka,Our Party,liberal
79441,Bosnia-Herzegovina,ZNG,Za Nove Generacije,For New Generations,other
79610,Bosnia-Herzegovina,SBB BiH,Savez za bolju budućnost Bosne i Hercegovine,Alliance for a Better Future of Bosnia and Herzegovina,liberal
79620,Bosnia-Herzegovina,NiP,Narod i Pravda,People and Justice,centre-right
79625,Bosnia-Herzegovina,NES,Narodni evropski savez Bosne i Hercegovine,The People's European Union of Bosnia and Herzegovina,centre
79730,Bosnia-Herzegovina,SNSD,Savez nezavisnih socijaldemokrata,Alliance of Independent Social Democrats,centre-left
79951,Bosnia-Herzegovina,SDA,Stranka demokratske akcije,Party of Democratic Action,centre-right
79953,Bosnia-Herzegovina,HDZ BiH,Hrvatska demokratska zajednica Bosne i Hercegovine,Croatian Democratic Union of Bosnia and Herzegovina,centre-right
81032,Croatia,NA,Rijeke pravde,Rivers of Justice,unknown
81044,Croatia,SSIP-P-F,Stranka s Imenom i Prezimenom - Pametno - Fokus,Party with a First and Last Name - Smart - Focus,unknown
81240,Croatia,NA,Možemo! - politička platforma,We can!-political platform,unknown
81245,Croatia,RF,Radnička fronta,Workers' Front,unknown
81310,Croatia,NL,Nova ljevica,New Left,far-left
81450,Croatia,NS-R,Narodna stranka - Reformisti,People's Party - Reformists,unknown
81460,Croatia,Most,Most,Bridge,centre-right
81711,Croatia,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,centre-right
81712,Croatia,HNS,Hrvatska narodna stranka - liberalni demokrati,Croatian People’s Party - Liberal Democrats,liberal
81714,Croatia,DP,Domovinski pokret,Homeland Movement,far-right
81910,Croatia,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serbian Party,centre-left
83410,Estonia,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party,unknown
83411,Estonia,K,Eesti Keskerakond,Estonian Center Party,unknown
83430,Estonia,ER,Eesti Reformierakond,Estonian Reform Party,unknown
83611,Estonia,NA,Isamaa,Pro Patria,centre-right
83720,Estonia,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People's Party of Estonia,far-right
86001,Hungary,NA,Egységben Magyarországért,United for Hungary,unknown
86110,Hungary,LMP,Lehet Más Politika!,Politics Can Be Different,unknown
86111,Hungary,PM,Párbeszéd Magyarországért,Dialogue for Hungary,unknown
86220,Hungary,MSzP,Magyar Szocialista Párt,Hungarian Socialist Party,centre-left
86221,Hungary,DK,Demokratikus Koalícío,Democratic Coalition,centre-left
86340,Hungary,E14-PM,Együtt 2014 – Párbeszéd Magyarországért Választási Szövetség,Together 2014 -Dialogue for Hungary Electoral Alliance,unknown
86421,Hungary,FiDeSz-KDNP,Szövetség Fiatal Demokraták Szövetsége - Kereszténydemokrata Néppárt,Alliance of Federation of Young Democrats - Christian Democratic People's Party,far-right
86710,Hungary,Jobbik,Jobbik Magyarországért Mozgalom,Movement for a Better Hungary,far-right
86711,Hungary,NA,Mi Hazánk Mozgalom,Our Homeland Movement,unknown
87011,Latvia,AS,Apvienotais saraksts,United List,centre
87042,Latvia,NA,Attīstībai/Par!,Development/For!,unknown
87062,Latvia,NA,Vienotība,Unity,unknown
87063,Latvia,JV,Jaunā Vienotība,New Unity,liberal
87071,Latvia,NA,Nacionālā apvienība ‘Visu Latvijai!' – ‘Apvienība Tēvzemei un brīvībai - Latvijas Nacionālās neatkaribas kustība',National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',unknown
87110,Latvia,ZZS,Zaļo un Zemnieku savienība,Greens' and Farmers’ Union,green
87312,Latvia,NA,Progresīvie,The Progressives,centre-left
87340,Latvia,SDPS,"Sociāldemokrātiskā Partija ""Saskaņa""","Social Democratic Party ""Harmony""",centre-left
87640,Latvia,NA,Jaunā konservatīvā partija,New Conservative Party,unknown
87730,Latvia,KPV LV,Kam pieder valsts?,Who owns the state?,unknown
87735,Latvia,S!,Stabilitātei!,For Stability,unknown
87736,Latvia,LPV,Latvija pirmajā vietā,Latvia First,far-right
88320,Lithuania,LSDP,Lietuvos socialdemokratų partija,Lithuanian Social Democratic Party,centre-left
88322,Lithuania,LSDDP,Lietuvos socialdemokratų darbo partija,Social Democratic Labour Party of Lithuania,unknown
88440,Lithuania,DP,Darbo Partija,Labour Party,centre-left
88450,Lithuania,LRLS,Lietuvos respublikos Liberalų sąjūdis,Liberal Movement,liberal
88451,Lithuania,LP,Laisvės partija,Freedom Party,liberal
88621,Lithuania,TS-LKD,Tėvynės sąjunga- Lietuvos krikščionys demokratai,Homeland Union - Lithuanian Christian Democrats,centre-right
88820,Lithuania,LVŽS,Lietuvos valstiečių ir žaliųjų sąjunga,Lithuanian Peasant and Green Union,centre
88951,Lithuania,LLRA/AWPL,Lietuvos lenkų rinkimų akcija/Akcja Wyborcza Polaków na Litwie,Election Action of Lithuania’s Poles,unknown
90040,Moldova,ACUM,Blocul electoral „ACUM Platforma DA și PAS”,"Electoral bloc ""NOW  Platform DA and PAS""",unknown
90231,Moldova,PSRM,Partidul Socialiştilor din Republica Moldova,Party of Socialists of the Republic of Moldova,unknown
90330,Moldova,PDM,Partidul Democrat din Moldova,Democratic Party of Moldova,unknown
90620,Moldova,PL,Partidul Liberal,Liberal Party,unknown
90630,Moldova,ȘOR,Partidul Șor,Șor Party,unknown
91021,Montenegro,Zajedno,Zajedno!,Together!,liberal
91040,Montenegro,Mir,Mir je naša nacija,Peace is our Nation,unknown
91041,Montenegro,Aleksa,Aleksa i Dritan – Hrabro se broji!,Aleksa and Dritan – Count Bravely!,centre-right
91090,Montenegro,ZBCG,Za budućnost Crne Gore,For the Future of Montenegro,unknown
91220,Montenegro,DPS CG,Demokratska Partija Socijalista Crne Gore,Democratic Party of Socialists of Montenegro,centre-left
91321,Montenegro,SDP CG,Socijaldemokratska Partija Crne Gore,Social Democratic Party of Montenegro,centre-left
91322,Montenegro,URA,Ujedinjena reformska akcija,United Reform Action,liberal
91324,Montenegro,SD CG,Socijaldemokrate Crne Gore,Social Democrats of Montenegro,unknown
91445,Montenegro,PES,Pokret Evropa sad,Europe Now Movement,liberal
91920,Montenegro,BS,Bošnjačka Stranka,Bosniak Party,centre-right
92022,Poland,NA,Lewica,The Left,centre-left
92050,Poland,PSL,Koalicja Polska,Polish Coalition,unknown
92070,Poland,KWiN,Konfederacja Wolność i Niepodległość,Confederation Liberty and Independence,unknown
92435,Poland,KO,Koalicja Obywatelska,Civic Coalition,unknown
92436,Poland,PiS,Prawo i Sprawiedliwość,Law and Justice,unknown
92455,Poland,NA,Wiosna,Spring,unknown
92953,Poland,MN,Mniejszość Niemiecka,German Minority,unknown
95011,Serbia,MORAMO,"Moramo,",We must,unknown
95021,Serbia,SPS/JS/ZS,Ivica Dačić — Premijer Srbije,Ivica Dačić — Prime Minister of Serbia,unknown
95046,Serbia,UZPS,Ujedinjeni za pobedu Srbije,United for the Victory of Serbia,unknown
95047,Serbia,SPN,Srbija protiv nasilja,Serbia Against Violence,unknown
95067,Serbia,NADA,Nacionalno demokratska alternativa,National Democratic Alternative,unknown
95071,Serbia,AV–SNSDS,Aleksandar Vučić – Srbija ne sme da stane,Aleksandar Vučić – Serbia Must Not Stop,unknown
95072,Serbia,Dveri-POKS,Srpski pokret Dveri - Pokret obnove Kraljevine Srbije,Serbian Movement Dveri - Movement for the Restoration of the Kingdom of Seria,unknown
95093,Serbia,NA,Akademik Muamer Zukorlić - Samo Pravo - Stranka pravde i pomirenja (SPP) - Demokratska partija Makedonaca (DPM),Academician Muamer Zukorlic - Straight ahead - Party of Justice and Reconciliation SPP - Democratic Party of Macedonians DPM,unknown
95730,Serbia,SPAS,Srpski patriotski savez,Serbian Partiotic Alliance,unknown
95740,Serbia,MI–GIN,Mi—Glas iz naroda,We–The Voice from the People,unknown
95902,Serbia,VMSZ,Vajdasági Magyar Szövetség,Alliance of Vojvodina Hungarians,other
95952,Serbia,SDA,Stranka Demokratske Akcije,Party of Democratic Action,unknown
